Mã hàng	ĐVT	Tên hàng
383642	Cái	BD NEXIVA 22G
383647	Cái	BD NEXIVA 20G (1.25 IN)
383648	Cái	BD NEXIVA 20G (1.75 IN) (1.1 x 45 mm)
383649	Cái	BD NEXIVA 18G (1.25 IN)
383650	Cái	BD NEXIVA 18G (1.75 IN)
385100	Cái	Q-STYLE CLOSED LUER ACCESS DEVICE
388000	Cái	BD Gravity IV Set With ARD Technology and Auto Prime
388002	Cái	BD Gravity IV Set With ARD Technology and Auto Prime Bộ dây truyền dịch an toàn có đầu nối không kim
391380	Cái	Neoflon Pro (24GA)
391891	Cái	Venflon I 22GA 0.8mm x 25mm Global
391892	Cái	Venflon I 20GA 1.0mm x 32mm Global
391893	Cái	Venflon I 18GA 1.2mm x 45mm Global
393222	Cái	Venflon Pro Safety (22GA)
393224	Cái	Venflon Pro Safety (20GA)
393227	Cái	Venflon Pro Safety (18GA)
394600	Cái	Chạc ba dịch truyền Connecta không dây
394995	Cái	Chạc ba dịch truyền Connecta có dây
4041E	Cái	Bơm tiêm khí máu động mạch tráng sẵn heparin, Line Draw, Dry Heparin, 1CC
4042E	Cái	Bơm tiêm khí máu động mạch tráng sẵn heparin, Line Draw, Dry Heparin, 3CC
405248	Cái	Spinal Needle (18GA)
405257	Cái	Spinal Needle (25GA)
405259	Cái	Spinal Needle (27GA)
437519	Hộp	BD PCR Cartridges
440034	Gói	Drive Belt 9050 Dây Curoa
440038	Gói	Membrane Switch Bactec 9050 Bàn phím điều khiển kèm cáp kết nối
440047	Cái	Mô tơ bước cho máy MGIT 960
440050	Cái	DUAL CHAIN MGIT SPARE
440053	Cái	Bo điều khiển bộ ra nhiệt Mgit 960
440054	Cái	SET OF SLIDES DRAWER MGIT 960 SPARE
440330	Thùng	Pipette Tips (CO-RE II) 1000 uL Conductive Filtered
4405896	Bộ	DRAWER SENSOR BOARD
4405902	Cái	Nguồn 5v/15v
4406	Cái	SURGICAL CLIPPER BLADE-GENERAL USE
440774	Cái	Bo cảm biến máy Mgit 960
440776	Cái	Bảng cảm biến nhiệt độ Mgit 960
440777	Cái	Bo nguồn máy Mgit 960
440825	Gói	QUICK REFERENCE GUIDE BACTEC FX REVISION 07
440910	Cái	PhoenixSpec™ Nephelometer Máy đo độ đục BD PhoenixSpec™
440911	Hộp	PhoenixSpec Calibrator Kit Bộ chuẩn máy đo độ đục BD PhoenixSpec™
441183	Cái	BD Viper Thermal Verification Tool
441306	Bộ	Bộ mô tơ rung máy FX
441320	Cái	COUPLING SLEEVE FLEX BFX SPARE
441341	Cái	HANDLE DRAWER A/D BFX SPARE
441342	Cái	HANDLE DRAWER B/C BFX SPARE
441354	Hộp	Viper System Neutralization Pouch
441364	Cái	Đầu đọc mã vạch máy Mgit 960
441370	Hộp	BACTEC Digital Thermometer
441385	Cái	BD BACTEC FX-Top
441387	Hộp	KIT COUNTERWEIGHT BFX
441427	Gói	MANUAL BACTEC FX PACKAGED REVISION# 10
441442	Cái	SET KEY SERVICE SWITCH PACKAGED
441458	Cái	Bo điều khiển mo tơ blower máy FX
441459	Cái	Màn hình LCD máy FX
441460	Cái	Bo điều khiển Drawer máy FX
441468	Bộ	Bộ khóa cài máy FX
441476	Bộ	Calibration Verification Kit BFX SPARE
441479	Bộ	BYPASS TOOL DRAWER PASSIVE LOCK BFX
441735	Cái	Module điều khiển hệ thống BFX
441772	Hộp	BD MAX GBS
441842	Cái	KIT DISPLAY AND ELECTRONICS MOD MGIT 960
441912	Cái	LLS STRIPPER ASSY Z GANTRY MAX6 SPARE
